Test Ref,Test name,REQs tested,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.1.0,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.1.6,2.1.7,2.1.8,2.1.9,2.2.0,2.2.1,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.1.0,3.1.1,3.1.2
1,BuildingCategory,2,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Building,6,X,,,,X,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
3,BuildingType,2,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
4,DuckScenario,3,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
5,EventHandler,1,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GameState,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
7,PathwayPositions,2,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
8,TileTest,3,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
9,TileTypeTest,3,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,
10,TimerTest,3,,,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
11,TutorialScenario,2,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
12,Man test 1,2,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Man test 2,7,,,X,,,,,,X,X,,,,,,,,,,,X,X,,,,,X,,,X,,,,,,,,,
14,Man test 3,3,,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
15,Man test 4,3,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
16,KeybindingsTest,3,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
17,Vector2IntTest,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AchievementManager,1,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
